number,piano,notes
128,,G#9
127,,G9
126,,F#9
125,,F9
124,,E9
123,,D#9
122,,D9
121,,C#9
120,,C9
119,,B8
118,,A#8
117,,A8
116,,G#8
115,,G8
114,,F#8
113,,F8
112,,E8
111,,D#8
110,,D8
109,,C#8
108,88,C8
107,87,B7
106,86,A#7
105,85,A7
104,84,G#7
103,83,G7
102,82,F#7
101,81,F7
100,80,E7
99,79,D#7
98,78,D7
97,77,C#7
96,76,C7
95,75,B6
94,74,A#6
93,73,A6
92,72,G#6
91,71,G6
90,70,F#6
89,69,F6
88,68,E6
87,67,D#6
86,66,D6
85,65,C#6
84,64,C6
83,63,B5
82,62,A#5
81,61,A5
80,60,G#5
79,59,G5
78,58,F#5
77,57,F5
76,56,E5
75,55,D#5
74,54,D5
73,53,C#5
72,52,C5
71,51,B4
70,50,A#4
69,49,A4
68,48,G#4
67,47,G4
66,46,F#4
65,45,F4
64,44,E4
63,43,D#4
62,42,D4
61,41,C#4
60,40,C4
59,39,B3
58,38,A#3
57,37,A3
56,36,G#3
55,35,G3
54,34,F#3
53,33,F3
52,32,E3
51,31,D#3
50,30,D3
49,29,C#3
48,28,C3
47,27,B2
46,26,A#2
45,25,A2
44,24,G#2
43,23,G2
42,22,F#2
41,21,F2
40,20,E2
39,19,D#2
38,18,D2
37,17,C#2
36,16,C2
35,15,B1
34,14,A#1
33,13,A1
32,12,G#1
31,11,G1
30,10,F#1
29,9,F1
28,8,E1
27,7,D#1
26,6,D1
25,5,C#1
24,4,C1
23,3,B0
22,2,A#0
21,1,A0
