I,I_CONV,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE,SEL_SIZE
500,-1,5.878212427,5.878212427,5.878212427,0.808333333,1,1,1,0.466666667,0,0,0,-0.041666667,0.944171507,0.700707586,0.972,8,0.5,1000,50,UX,50
500,-1,6.165395039,6.165395039,6.165395039,0.826190476,1,1,1,0.733333333,0,0,0,-0.227380952,0.979148555,0.854103627,1,8,0.5,1000,50,UX,50
500,-1,6.173528121,6.173528121,6.173528121,0.8125,1,1,1,0.6,0,0,0,-0.0625,0.974968683,0.848559438,1,8,0.5,1000,50,UX,50
500,-1,6.258307106,6.258307106,6.258307106,0.830357143,1,1,1,0.666666667,0,0,0,0,0.907961954,0.853321343,1,8,0.5,1000,50,UX,50
500,-1,5.992620764,5.992620764,5.992620764,0.683035714,1,1,1,0.5,0,0,0,-0.035714286,0.961509978,0.883789357,1,8,0.5,1000,50,UX,50
500,-1,6.162521856,6.162521856,6.162521856,0.829166667,1,1,1,0.666666667,0,0,0,-0.181547619,0.981118625,0.867117517,1,8,0.5,1000,50,1X+2X,50
500,-1,6.032371334,6.032371334,6.032371334,0.892857143,1,1,1,0.533333333,-0.054054054,0,0,-0.041666667,0.88041359,0.821487989,1,8,0.5,1000,50,1X+2X,50
500,-1,6.068085568,6.068085568,6.068085568,0.768452381,1,1,1,0.566666667,0,0,0,-0.017857143,0.952326858,0.798496805,1,8,0.5,1000,50,1X+2X,50
500,-1,6.218761562,6.218761562,6.218761562,0.824553571,1,1,1,0.6,0,0,0,0,0.977249207,0.816958783,1,8,0.5,1000,50,1X+2X,50
500,-1,6.109171087,6.109171087,6.109171087,0.708333333,1,1,1,0.566666667,0,0,0,-0.017857143,0.953437969,0.898590261,1,8,0.5,1000,50,1X+2X,50
500,-1,6.170527118,6.170527118,6.170527118,6.170527118,1,1,1,0.666666667,0,0,0,-0.0625,0.910033856,0.831326596,1,8,0.5,1000,50,1X+2X,50
500,-1,5.950834747,5.950834747,5.950834747,5.950834747,1,1,1,0.566666667,0,0,0,-0.107886905,0.956480578,0.754324407,0.931,8,0.5,1000,0,1X+2X,50
500,-1,5.981400098,5.981400098,5.981400098,5.981400098,1,1,1,0.433333333,0,0,0,-0.035714286,0.954498415,0.861425493,1,8,0.5,1000,0,1X+2X,50
500,-1,6.002567873,6.002567873,6.002567873,6.002567873,1,1,1,0.566666667,0,0,0,-0.154761905,0.952326858,0.793098157,1,8,0.5,1000,0,1X+2X,50
500,-1,6.098013412,6.098013412,6.098013412,6.098013412,1,1,1,0.633333333,0,0,0,-0.03125,0.912189948,0.857698464,1,8,0.5,1000,0,1X+2X,50
500,-1,6.10230944,6.10230944,6.10230944,6.10230944,1,1,1,0.533333333,0,0,0,-0.071428571,0.977755793,0.920982219,1,8,0.5,1000,0,1X+2X,50
500,-1,6.000628601,6.000628601,6.000628601,6.000628601,1,1,1,0.5,0,0,0,-0.053571429,0.953437969,0.832904917,0.939,8,0.5,1000,0,1X+2X,50
500,-1,5.97839501,5.97839501,5.97839501,5.97839501,1,1,1,0.6,0,0,0,-0.142857143,0.926742036,0.779033927,1,8,0.5,1000,0,1X+2X,50
500,-1,5.942738787,5.942738787,5.942738787,5.942738787,1,1,1,0.466666667,-0.058823529,0,0,-0.041666667,0.902773912,0.902955071,1,8,0.5,1000,0,1X+2X,50
