I,I_CONV,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE,SEL_SIZE
500,296,4.460483878,0.260156615,1.548861329,1.206845584,0.651583632,0.264625,-0.458,0.481313016,0.133266667,-0.043285587,-0.016116748,-0.002,-0.122315957,0.45540739,0.204383916,0.001,8,0.5,1000,50,NONE,50
500,220,4.194250432,0.202356381,1.439561566,1.10089621,0.647449545,0.2480625,-0.503,0.48018725,0.103366667,-0.027481846,-0.015949717,-0.00275,-0.115144596,0.454553405,0.170268358,0.001,8,0.5,1000,50,NONE,50
500,438,5.127846343,1.079489845,2.442158215,2.122619987,0.692760696,0.3385625,-0.382,0.546547922,0.175466667,-0.005684038,-0.014878806,-0.0015,-0.020037919,0.458252801,0.654668393,0.001,8,0.5,1000,50,NONE,50
500,58,4.787142386,0.227172263,1.436154311,1.112556928,0.646414861,0.2491875,-0.5695,0.477370551,0.1299,-0.025817468,-0.015922801,-0.00125,-0.140776484,0.457293876,0.229254276,0.001,8,0.5,1000,50,NONE,50
500,401,4.985145553,0.852087948,2.240172607,1.971365968,0.71135064,0.3581875,-0.396,0.579579255,0.063133333,-0.008532464,-0.016710381,-0.000625,-0.038915391,0.452985445,0.535719669,0.001,8,0.5,1000,50,NONE,50
500,219,4.299264759,0.094734902,1.496090415,1.157830316,0.615576119,0.2068125,-0.4445,0.426502981,0.147866667,-0.044797046,-0.015562913,-0.001125,-0.10947861,0.458548208,0.25624751,0.001,8,0.5,1000,50,NONE,50
500,142,4.644509876,0.146666319,1.410937578,1.082590212,0.636111676,0.235125,-0.5075,0.453230265,0.1169,-0.033534746,-0.015749547,-0.000625,-0.108768365,0.460772937,0.174975359,0.001,8,0.5,1000,50,NONE,50
500,405,4.432933696,0.222872026,1.53747085,1.192330757,0.645004171,0.2525625,-0.435,0.474436314,0.128833333,-0.050870986,-0.01588167,-0.002,-0.127454957,0.45191581,0.215926335,0.001,8,0.5,1000,50,NONE,50
500,469,5.624550217,1.213113543,2.78533709,2.673878725,0.703824434,0.3463125,-0.185,0.556953919,0.259666667,-0.006185612,-0.015331921,-0.000875,-0.027528483,0.461902146,0.69159844,0.001,8,0.5,1000,50,NONE,50
500,477,4.396928049,0.078888999,1.401064691,1.070733017,0.626658387,0.2108125,-0.469,0.439144318,0.119366667,-0.029800675,-0.015869098,-0.002,-0.137833872,0.455487044,0.20409942,0.001,8,0.5,1000,50,NONE,50
500,170,4.340864779,0.130057611,1.450231706,1.120013373,0.654497339,0.268625,-0.491,0.483847309,0.095466667,-0.057562296,-0.01605726,-0.001,-0.127632688,0.457082017,0.183965619,0.001,8,0.5,1000,50,NONE,50
,,,,,,,,,,,,,,,,,,,,,,,
,,4.663083633,0.409781496,1.744367305,1.437423734,0.657384682,0.270806818,-0.440045455,0.490828464,0.133930303,-0.030322979,-0.015820987,-0.001431818,-0.097807938,0.456745553,0.320100663,,,,,,,
